lineId,dialogueLineType,personName,content,events,personImg,position,atMindBox,spriteType,image
10001,Title,,Day 0|弃我去者,,,,,CLEAR,
10002,Narration,？？,“嗨，醒醒。”,,,,,,
10003,CG,,,,,,,StandaloneBGP,train_bg
10004,Narration,,他很轻地触碰你，好像并不是为了完全叫醒你。,,,,,,
10005,Narration,,你的眼皮很沉。,,,,,,
10006,Narration,,他错身从前排的座位和你之间挤过，然后拿上外套，\n你听见布料摩挲的声音。他戴上围巾，外面很冷。,,,,,,
10007,Narration,,而车厢里很暖和。你的身体很沉。你的内心在尖叫，\n必须拦下他，必须，必须。不能让他下车，,,,,,,
10008,Narration,,奇怪，是下车还是上车？你记不清了，因为你反反复复地做这个梦。\n有时他半途下车，有时你去站台送他。他总是悄悄地溜走了似的，\n你们好像一次也没有道别。,,,,,,
10009,Narration,,你的内心在尖叫，但是车厢里很温暖。身体很沉，你连手指头都动不了。,,,,,,
10010,Narration,,门关了，你知道他下车了。,,,,,,
10011,Narration,,车厢里开始下雪了，你的眼前一片漆黑。,,,,,,
10012,CG,,,,,,,CLEAR,
10013,Narration,,世界无边无际。空无一物。,,,,,,
10014,Narration,,会不会是你梦到了一切、所有的一切？,,,,,,
10015,,,,,,,,,
10016,Title,,Day 1|乌托邦,,,,,,
10017,Narration,警员,晚上好，老板。,,policeman_normal,Center3,,,
10018,Narration,警员,月之节愉快。很高兴看到你还活着。,,policeman_normal,Center3,,,
10019,Choose,,“……请问你是？”,,,,FALSE,,
10020,Choose,,“暂时还死不了。”,,,,FALSE,,
10021,Mind,,笨蛋。很显然，有个人跟你套近乎，但你想不起他是谁了。\n一般来说，你就不能假装认识他吗？,,,,,,
10022,Mind,,你该不会连你失忆了这件事本身也忘掉了吧？,,,,,,
10023,Choose,,……请问你又是？,,,,FALSE,,
10024,Choose,,（保持沉默）,,,,FALSE,,
10025,Mind,,完了，全完了，看起来永夜终于把你的脑子彻底烧坏了。,,,,,,
10026,Mind,,让我静一静，别再说蠢话了。\n另外，你可以把我理解成幻觉。\n所以最好不要在别人眼皮底下和我这个不存在的幻觉讲话，明白吗？,,,,,,
10027,Choose,,“好的。”,,,,FALSE,,
10028,Choose,,“是你先向我搭话的。”,,,,FALSE,,
10029,Choose,,（保持沉默）,,,,FALSE,,
10030,Narration,,你听到了摔门声和重重的脚步声，在你的脑海里。,,,,,,
10031,Narration,,就像你脑子里有一位任性的幻想朋友，还有一个属于他的幻想出来的房间，现在他气得走开了。,,,,,,
10032,Narration,,这样你就能专心应对眼前实实在在的客人了。,,,,,,
10033,Narration,,很好，你听从了劝告。,,,,,,
10034,Narration,,该专心应对眼前实实在在的客人了。,,,,,,
10035,Narration,,你没有看到第二位说话者，他源自于你的幻想。,,,,,,
10036,Narration,,听起来很疯狂，但至少他的提醒是对的。\n你不记得常识以外的任何东西，却被要求经营这家酒馆。,,,,,,
10037,Narration,,最好小心行事。,,,,,,
10038,Narration,,聪明的回答。顺着他的话说下去。,,,,,,
10039,Narration,,因为你根本就不认识这位客人，你不认识任何人。,,,,,,
10040,Narration,,上周发生了一些小事故，让你失去了常识之外的一切记忆。,,,,,,
10041,Narration,,他叫你“老板”，所以他应该是常客。,,,,,,
10042,Narration,,遗憾的是，其实你不是这间酒馆的老板，你只是一位工作是“假装老板”的员工而已。,,,,,,
10043,Mind,,真倒霉，如果发现自己失忆前是百万富翁多好啊。,,,,,,
10044,Narration,,嘘，别搭理他。,,,,,,
10045,Narration,警员（笑）,您还是这么爱开玩笑。,,policeman_smile,Center3,,,
10046,Narration,警员（笑）,那么……,,policeman_smile,Center3,,,
10047,Mind,,拜托，别点酒，你根本不记得什么配方！\n实在要点的话，至少别说“老规矩”，那种自我中心的客人最讨厌了！\n根本！没人！记得你们爱喝什么！,,,,,,
10048,Mind,,你幻想中的朋友一直如此吵闹吗？,,,,,,
10049,Narration,警员（笑）,老样子。,,policeman_smile,Center3,,,
10050,Narration,警员（笑）,我要一杯“临别赠言”。,,policeman_smile,Center3,,,
10051,PLAY,,,,,,,,
10052,Narration,警员,谢谢。,,policeman_normal,Center3,,,
10053,Mind,,他看起来松了一口气？,,,,,,
10054,Choose,,也许只是下班后来一杯？,,,,TRUE,,
10055,Choose,,这是某种测试吗？,,,,TRUE,,
10056,Mind,,为了确认你有没有失忆。\n假设是这样，那么他知道你失忆的可能性或是传闻。,,,,,,
